"Задача:
Нижче наведено таблицю з даними по різним баєрам і їх воронкам, по яким вони наливали трафік на певній географії. Необхідно вивести проміжні метрики конверсійної воронки та маркетингові показники  і виділити баєрів та їх воронки, які заперформили найкраще і вказати по яким параметрам. Також надати рекомендації, кого б з баєрів і з якими воронками варто було запускати в наступному місяці, а кого краще зупинити. ",,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,$15 757,1083,475,"47,20%",153,"68,30%","61,40%",$4 974,"$37,6","$31,4","2,9",$10 133,$16 930,$8 418,$5 159,,Buyer 12 (Funnel 2): Справжня знахідка. Найдешевший лід у системі ($73). Кожен вкладений долар приносить 4 долари депозитів. Сміливо подвоюємо бюджет.,,,,,,
,,2,$6 736,358,149,"49,70%",47,"63,51%","48,90%",$2 203,"$131,5","$59,7","2,8",$18 407,$17 225,$16 367,$16 204,,"Buyer 3 (Funnel 2): Стабільна і надійна зв'язка. ROAS 2.5. Просто масштабуємо, тут все добре.",,,,,,
,,3,$6 679,404,147,"55,80%",62,"75,61%","59,70%",$3 278,"$74,5","$45,3","3,3",$9 078,$15 133,$5 821,$5 799,,,,,,,,
,,4,$6 166,330,141,"58,90%",59,"71,08%","74,60%",$1 992,"$58,6","$34,3","4,4",$4 092,$15 052,$2 207,$2 100,,2. Проблемні зони (Кого зупинити або виправити),,,,,,
,,5,$3 383,205,87,"48,30%",29,"69,05%","65,50%",-$518,"$84,1","$25,5","8,8",$6 099,$21 433,$6 614,$6 617,,Тут ми втрачаємо гроші. Потрібні рішучі дії.,,,,,,
,,6,$1 184,31,15,"40,00%",3,"50,00%","66,70%",$123,"$53,9","$57,9","1,3",-$403,$216,$59,-$526,,"Buyer 6 (Funnel 1): Головний пожирач бюджету. Витратив 18 тисяч, а повернув менше 10 тисяч депозитами. Це прямі збитки. Зупинити негайно. Ці гроші краще віддати Buyer 3.",,,,,,
,,7,$515,17,7,"42,90%",2,"66,67%","50,00%",$139,"$32,6","$27,9","1,5",$236,$98,$98,$97,,"Buyer 9 (Funnel 1): Найдорожчий лід ($300). Це в 4 рази дорожче, ніж у лідера. Ефективність вкрай низька. Зупинити.",,,,,,
,,8,$281,29,6,"66,70%",4,"100,00%","75,00%",$95,"$25,4","$24,2","1,5",$248,$152,$152,$152,,"Buyer 2 (Funnel 1): Складна ситуація. Він приносить збиток по NGR, але дає величезний обсяг депозитів (253 шт). Якщо його вимкнути, ми втратимо 20% обороту компанії. Рішення: Оптимізувати. Ставимо йому задачу знизити ціну ліда на 15% (до $160). Не закриваємо, а лікуємо.",,,,,,
,,9,$106,12,1,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,,10,$97,4,,,,,,,,,,,,,,,3. Підсумкова Таблиця Дій,,,,,,
,,11,$70,13,5,"20,00%",1,"100,00%","100,00%",$23,"$21,0","$21,0",1,$44,$21,$21,$21,,Баєр,Воронка (Funnel),Статус,Бюджет (Поточний),Бюджет (Новий),Дія,Чому?
,,12,$11,2,,,,,,,,,,,,,,,Buyer 3,Funnel 5,Scale,"$3,383","$10,000+",Збільшити x3,ROAS 6.33. Найприбутковіша точка росту.
,4,1,$12 861,795,306,"41,20%",89,"70,63%","66,30%",$2 313,"$39,4","$38,5","3,5",$8 858,$12 180,$6 782,$6 545,,Buyer 12,Funnel 2,Scale,"$2,277","$5,000+",Подвоїти,"CPA $73. Найдешевший лід, супер ROI."
,,2,$8 681,501,204,"39,20%",55,"68,75%","69,10%",$2 408,"$48,6","$39,0","2,2",$6 733,$5 828,$4 433,$4 325,,Buyer 3,Funnel 2,Scale,"$6,736","$10,000",Додати +50%,Стабільний прибуток (ROAS 2.5).
,,3,$2 881,154,59,"44,10%",18,"69,23%","50,00%",$871,"$31,1","$30,9","4,2",-$155,$2 334,-$990,-$1 026,,Buyer 2,Funnel 1,Optimize,"$48,063","$40,000",Знизити -15%,"Зберегти об'єм, але знизити CPA до $160."
,,4,$2 097,118,49,"55,10%",21,"77,78%","76,20%",$707,"$29,5","$30,5","1,9",$84,$1 181,-$625,-$624,,Buyer 6,Funnel 1,Stop,"$18,188",$0,Зупинити,Прямі збитки (ROAS 0.54). Гроші на вітер.
,,5,$1 592,71,25,"36,00%",8,"88,89%","62,50%",-$1 081,"$68,2","$117,2","2,9",$492,$1 570,$1 570,$1 573,,Buyer 9,Funnel 1,Stop,"$7,521",$0,Зупинити,Найдорожчий лід ($300). Немає сенсу.
,,6,$977,69,29,"34,50%",8,"80,00%","100,00%",$161,"$27,7","$27,7",1,$382,$221,$221,$221,,Buyer 5,Funnel 1,Maintain,"$16,235","$16,235",Без змін,Стабільно працює в плюс (ROAS 2.1).
,5,1,$16 235,940,402,"44,50%",112,"62,57%","74,10%",-$1 212,"$83,9","$37,5","3,7",$20 912,$34 503,$22 486,$22 124,,,,,,,,
,,2,$2 700,154,61,"39,30%",17,"70,83%","70,60%",$669,"$157,4","$39,5","2,7",$2 352,$7 240,$1 716,$1 683,,"Результат: Зберігши той самий загальний бюджет, ми перестанемо спалювати $25k на неефективних баєрах і направимо їх туди, де вони окупляться в 3-5 разів. Очікую значний ріст прибутку вже в наступному місяці.",,,,,,
,,3,$2 293,104,48,"39,60%",10,"52,63%","70,00%",-$35,"$26,9","$32,7","3,1",-$225,$835,-$71,-$190,,,,,,,,
,,4,$2 060,113,47,"46,80%",15,"68,18%","66,70%",$228,"$27,5","$24,1","7,1",$1 504,$2 920,$2 537,$1 277,,,,,,,,
,,5,$1 563,70,30,"60,00%",11,"61,11%","81,80%",$134,"$39,6","$41,6","1,3",$465,$555,$464,$331,,,,,,,,
,,6,$1 262,81,27,"33,30%",5,"55,56%","60,00%",$121,"$18,9","$22,1","2,2",$329,$208,$208,$207,,,,,,,,
,,7,$770,59,17,"41,20%",4,"57,14%","75,00%",-$56,"$23,7","$26,1","1,3",$63,$118,$118,$118,,,,,,,,
,,8,$230,6,3,"33,30%",1,"100,00%","0,00%",-$1 195,"$71,8","$34,8",3,-$1 673,$215,-$477,-$479,,,,,,,,
,6,1,$18 188,829,267,"47,20%",84,"66,67%","59,50%",$2 168,"$41,7","$28,9","2,8",$9 965,$9 839,$7 971,$7 797,,,,,,,,
,,2,$306,11,4,"75,00%",2,"66,67%","50,00%",$0,"$35,8","$34,7","1,5",$106,$107,$107,$106,,,,,,,,
,,3,,1,,,,,,,,,,,,,,,,,,,,,
,7,1,$11 678,569,215,"51,20%",67,"60,91%","67,20%",-$408,"$25,1","$38,4","3,6",$1 642,$6 135,$2 466,$2 051,,,,,,,,
,,2,$4 147,62,39,"46,20%",14,"77,78%","57,10%",$967,"$297,6","$48,6","2,7",$12 855,$11 309,$10 616,$11 888,,,,,,,,
,8,1,$5 949,191,68,"60,30%",31,"75,61%","77,40%",$768,"$31,6","$34,8","2,5",$1 780,$2 467,$1 015,$1 012,,,,,,,,
,,2,$5 243,75,40,"47,50%",14,"73,68%","64,30%",$1 403,"$74,8","$24,4","2,5",$3 655,$2 617,$2 273,$2 251,,,,,,,,
,,3,$2 114,97,33,"63,60%",14,"66,67%","71,40%",$249,"$26,5","$24,5","1,4",$766,$531,$531,$517,,,,,,,,
,,4,$1 133,47,17,"47,10%",7,"87,50%","42,90%",$229,"$24,5","$24,8","2,4",$615,$417,$417,$386,,,,,,,,
,,5,$562,25,9,"33,30%",2,"66,67%","50,00%",$45,"$253,5","$276,6","1,5",$806,$761,$761,$761,,,,,,,,
,9,1,$7 521,240,86,"40,70%",25,"71,43%","68,00%",-$4,"$46,9","$39,6","2,1",$1 022,$2 437,$1 055,$1 026,,,,,,,,
,,2,$7 190,387,142,"45,10%",43,"67,19%","60,50%",$1 786,"$48,9","$33,6","2,5",$5 951,$5 230,$4 325,$4 165,,,,,,,,
,10,1,$3 105,79,37,"35,10%",9,"69,23%","55,60%",$198,"$25,3","$20,8","2,8",$405,$633,$215,$206,,,,,,,,
,,2,$2 254,41,27,"48,10%",9,"69,23%","77,80%",$642,"$57,4","$29,4","4,1",$2 755,$2 124,$2 124,$2 113,,,,,,,,
,,3,$1 738,34,16,"50,00%",8,"100,00%","62,50%",$437,"$89,0","$27,8","7,6",$100,$5 428,-$330,-$337,,,,,,,,
,,3,$1 584,26,13,"61,50%",4,"50,00%","25,00%",$375,"$24,1","$29,6","12,5",$489,$1 205,$117,$115,,,,,,,,
,,4,$1 188,21,15,"40,00%",2,"33,33%","50,00%",$4,"$57,8","$38,1",4,-$23,$463,-$27,-$28,,,,,,,,
,,5,$1 005,25,14,"64,30%",6,"66,67%","83,30%",$102,"$29,7","$31,2","1,2",$309,$208,$208,$207,,,,,,,,
,,6,$924,11,7,"28,60%",2,"100,00%","50,00%",$226,"$67,8","$27,8",2,$497,$271,$271,$270,,,,,,,,
,,7,$908,13,10,"30,00%",3,"100,00%","33,30%",$31,"$56,6","$69,3","2,3",$426,$396,$396,$394,,,,,,,,
,,8,$360,11,6,"50,00%",1,"33,33%","100,00%",$0,"$6,9","$6,9",1,$7,$7,$7,$7,,,,,,,,
,,9,$312,6,2,"50,00%",1,"100,00%","0,00%",$0,"$238,6","$139,1",5,$1 193,$1 193,$1 193,$1 193,,,,,,,,
,,10,$252,3,2,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,11,1,$2 721,108,40,"42,50%",12,"70,59%","75,00%",$674,"$41,2","$46,7","2,6",$1 098,$1 277,$428,$424,,,,,,,,
,,2,$2 313,85,34,"47,10%",13,"81,25%","46,20%",$872,"$85,6","$39,4","5,4",$3 857,$5 991,$3 021,$2 985,,,,,,,,
,,3,$1 983,61,27,"44,40%",11,"91,67%","72,70%",$392,"$56,0","$33,9","2,9",-$255,$1 791,-$646,-$647,,,,,,,,
,,4,$1 856,72,23,"43,50%",7,"70,00%","42,90%",$468,"$33,7","$40,7","3,3",-$251,$775,-$720,-$719,,,,,,,,
,,5,$1 854,56,18,"55,60%",5,"50,00%","60,00%",$62,"$21,1","$22,2","2,2",-$81,$232,-$143,-$144,,,,,,,,
,,6,$1 658,61,20,"40,00%",7,"87,50%","71,40%",$173,"$60,3","$36,6","8,1",-$337,$3 437,-$500,-$510,,,,,,,,
,,7,$735,38,11,"45,50%",3,"60,00%","66,70%",$111,"$33,9","$30,0","1,7",$281,$170,$170,$170,,,,,,,,
,,8,$306,6,2,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,12,1,$4 324,178,86,"43,00%",29,"78,38%","72,40%",$738,"$84,1","$36,2","2,6",$563,$6 391,-$134,-$176,,,,,,,,
,,2,$2 277,130,58,"56,90%",31,"93,94%","64,50%",$1 911,"$79,4","$43,3","4,1",$8 468,$9 998,$6 593,$6 557,,,,,,,,
,,3,$2 247,85,34,"38,20%",8,"61,54%","50,00%",$47,"$37,5","$31,4","2,5",$728,$750,$750,$680,,,,,,,,
,,4,$2 016,24,11,"54,50%",6,"100,00%","66,70%",$150,"$26,9","$22,0","1,3",$291,$215,$215,$141,,,,,,,,
,,5,$277,1,,,,,,,,,,,,,,,,,,,,,
,,6,$212,19,11,"27,30%",1,"33,33%","100,00%",$0,"$34,5","$34,5",1,$34,$34,$34,$34,,,,,,,,
,,7,$210,2,,,,,,,,,,,,,,,,,,,,,
,,8,$124,3,2,"50,00%",1,"100,00%","100,00%",$0,"$20,9","$20,9",1,$19,$21,$21,$19,,,,,,,,
,13,1,$7 756,171,90,"55,60%",38,"76,00%","65,80%",$1 537,"$64,1","$64,7",3,$1 919,$7 246,$441,$383,,,,,,,,
,,2,$3 112,123,57,"59,60%",21,"61,76%","61,90%",$1 400,"$51,5","$41,2","2,4",$3 244,$2 629,$1 939,$1 843,,,,,,,,
,,3,$220,2,,,,,,,,,,,,,,,,,,,,,
,,4,$153,5,,,,,,,,,,,,,,,,,,,,,
,,5,$105,3,1,"100,00%",0,"0,00%",,$0,,,,$0,$0,$0,$0,,,,,,,,
,14,1,$11 335,608,197,"46,70%",68,"73,91%","55,90%",$1 402,"$26,5","$27,1","4,5",$6 713,$8 144,$5 803,$5 311,,,,,,,,
,15,1,$10 703,468,166,"52,40%",65,"74,71%","53,80%",$1 943,"$41,3","$31,9","5,4",$8 118,$14 585,$6 327,$6 175,,,,,,,,
,,2,$250,2,1,"100,00%",1,"100,00%","100,00%",$2,"$34,6","$34,6",1,$36,$35,$35,$35,,,,,,,,
,16,1,$6 114,785,204,"39,20%",52,"65,00%","61,50%",$1 068,"$44,9","$30,2","2,1",$3 593,$4 984,$2 551,$2 525,,,,,,,,
,,2,$2 361,118,46,"45,70%",12,"57,14%","83,30%",$241,"$23,9","$26,9","1,4",$623,$406,$406,$382,,,,,,,,
,,3,$1 472,111,35,"45,70%",8,"50,00%","50,00%",$40,"$16,1","$17,4","4,1",$568,$532,$532,$528,,,,,,,,
,,4,$480,4,2,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,,5,$135,17,,,,,,,,,,,,,,,,,,,,,
,,6,$75,9,1,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,17,1,$8 620,256,109,"54,10%",42,"71,19%","66,70%",$1 491,"$46,9","$54,4","1,9",$848,$3 707,$2 199,-$643,,,,,,,,
,,2,$1 050,20,8,"62,50%",2,"40,00%","0,00%",-$265,"$122,9","$41,9","18,5",$1 047,$4 546,$1 311,$1 312,,,,,,,,
,,3,$313,11,3,"66,70%",2,"100,00%","50,00%",$891,"$149,9","$104,3","5,5",$2 540,$1 649,$1 649,$1 649,,,,,,,,
,,4,$176,3,,,,,,,,,,,,,,,,,,,,,
,18,1,$4 833,145,72,"50,00%",24,"66,67%","54,20%",$901,"$58,9","$52,9","2,1",$3 405,$2 944,$2 646,$2 503,,,,,,,,
,,2,$3 642,169,79,"50,60%",27,"67,50%","48,10%",$1 508,"$43,5","$46,3",3,$3 315,$3 526,$1 928,$1 807,,,,,,,,
,,3,$431,21,5,"60,00%",1,"33,33%","0,00%",-$52,"$72,6","$69,1",2,$94,$145,$145,$146,,,,,,,,
,,4,$229,12,2,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,19,1,$8 180,208,99,"47,50%",36,"76,60%","69,40%",$422,"$47,8","$49,3","3,9",$4 932,$6 745,$4 727,$4 510,,,,,,,,
,,2,$541,12,3,"33,30%",1,"100,00%","0,00%",$96,"$21,5","$21,0",11,$333,$237,$237,$237,,,,,,,,
,20,1,$6 913,226,109,"45,90%",37,"74,00%","70,30%",$1 056,"$25,1","$29,8","2,6",$2 718,$2 432,$1 709,$1 662,,,,,,,,
,,2,$459,14,4,"100,00%",3,"75,00%","33,30%",$259,"$63,5","$41,6","2,3",$704,$444,$444,$445,,,,,,,,
,,3,$206,1,,,,,,,,,,,,,,,,,,,,,
,,4,$195,10,4,"25,00%",0,"0,00%",,$0,,,,$0,$0,$0,$0,,,,,,,,
,,5,$189,10,1,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
,,6,$189,4,1,"100,00%",1,"100,00%","100,00%",$32,"$20,8","$20,8",1,$53,$21,$21,$21,,,,,,,,
,,7,$147,2,,,,,,,,,,,,,,,,,,,,,
,21,1,$6 257,269,114,"36,00%",28,"68,29%","57,10%",$755,"$28,2","$29,8","1,7",$2 061,$1 352,$1 352,$1 306,,,,,,,,
,,2,$1 050,21,5,"60,00%",2,"66,67%","50,00%",-$67,"$55,4","$45,0","1,5",$87,$166,$166,$154,,,,,,,,
,,3,$735,22,2,"100,00%",2,"100,00%","50,00%",-$11,"$44,2","$62,8","1,5",$114,$133,$133,$125,,,,,,,,
,22,1,$4 990,56,26,"61,50%",12,"75,00%","58,30%",$500,"$30,9","$37,7","3,4",$1 168,$1 267,$700,$667,,,,,,,,
,,2,$1 827,18,9,"44,40%",3,"75,00%","66,70%",$0,"$39,9","$41,6","1,3",$159,$159,$159,$159,,,,,,,,
,,3,$153,3,1,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,,,,,,,
