Date,Buyer,Funnel,Costs,Visits,Regs,% Deposit try,RFD,User AR,% One timers,Bonuses,Dep (Avg),First Deposit RFD,Frequency Deposit,GGR,In,InOut,NGR,Unnamed: 18,Рішення задачі,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,CPA,ROAS,Date_DT
01/03/2025,4.0,3,2881.0,154,59.0,"44,10%",18.0,"69,23%","50,00%",$871,"$31,1","$30,9","4,2",-$155,2334.0,-$990,-$1 026,,Buyer 2,Funnel 1,Optimize,"$48,063","$40,000",Знизити -15%,"Зберегти об'єм, але знизити CPA до $160.",160.05555555555554,0.8101353696633113,2025-03-01
01/03/2025,4.0,4,2097.0,118,49.0,"55,10%",21.0,"77,78%","76,20%",$707,"$29,5","$30,5","1,9",$84,1181.0,-$625,-$624,,Buyer 6,Funnel 1,Stop,"$18,188",$0,Зупинити,Прямі збитки (ROAS 0.54). Гроші на вітер.,99.85714285714286,0.5631855030996662,2025-03-01
01/03/2025,4.0,5,1592.0,71,25.0,"36,00%",8.0,"88,89%","62,50%",-$1 081,"$68,2","$117,2","2,9",$492,1570.0,$1 570,$1 573,,Buyer 9,Funnel 1,Stop,"$7,521",$0,Зупинити,Найдорожчий лід ($300). Немає сенсу.,199.0,0.9861809045226131,2025-03-01
01/03/2025,4.0,6,977.0,69,29.0,"34,50%",8.0,"80,00%","100,00%",$161,"$27,7","$27,7",1,$382,221.0,$221,$221,,Buyer 5,Funnel 1,Maintain,"$16,235","$16,235",Без змін,Стабільно працює в плюс (ROAS 2.1).,122.125,0.2262026612077789,2025-03-01
01/03/2025,5.0,1,16235.0,940,402.0,"44,50%",112.0,"62,57%","74,10%",-$1 212,"$83,9","$37,5","3,7",$20 912,34503.0,$22 486,$22 124,,,,,,,,,144.95535714285714,2.12522328303049,2025-03-01
01/03/2025,5.0,2,2700.0,154,61.0,"39,30%",17.0,"70,83%","70,60%",$669,"$157,4","$39,5","2,7",$2 352,7240.0,$1 716,$1 683,,"Результат: Зберігши той самий загальний бюджет, ми перестанемо спалювати $25k на неефективних баєрах і направимо їх туди, де вони окупляться в 3-5 разів. Очікую значний ріст прибутку вже в наступному місяці.",,,,,,,158.8235294117647,2.6814814814814816,2025-03-01
01/03/2025,5.0,3,2293.0,104,48.0,"39,60%",10.0,"52,63%","70,00%",-$35,"$26,9","$32,7","3,1",-$225,835.0,-$71,-$190,,,,,,,,,229.3,0.36415176624509377,2025-03-01
01/03/2025,5.0,4,2060.0,113,47.0,"46,80%",15.0,"68,18%","66,70%",$228,"$27,5","$24,1","7,1",$1 504,2920.0,$2 537,$1 277,,,,,,,,,137.33333333333334,1.4174757281553398,2025-03-01
01/03/2025,5.0,5,1563.0,70,30.0,"60,00%",11.0,"61,11%","81,80%",$134,"$39,6","$41,6","1,3",$465,555.0,$464,$331,,,,,,,,,142.0909090909091,0.3550863723608445,2025-03-01
01/03/2025,5.0,6,1262.0,81,27.0,"33,30%",5.0,"55,56%","60,00%",$121,"$18,9","$22,1","2,2",$329,208.0,$208,$207,,,,,,,,,252.4,0.1648177496038035,2025-03-01
01/03/2025,5.0,7,770.0,59,17.0,"41,20%",4.0,"57,14%","75,00%",-$56,"$23,7","$26,1","1,3",$63,118.0,$118,$118,,,,,,,,,192.5,0.15324675324675324,2025-03-01
01/03/2025,5.0,8,230.0,6,3.0,"33,30%",1.0,"100,00%","0,00%",-$1 195,"$71,8","$34,8",3,-$1 673,215.0,-$477,-$479,,,,,,,,,230.0,0.9347826086956522,2025-03-01
01/03/2025,6.0,1,18188.0,829,267.0,"47,20%",84.0,"66,67%","59,50%",$2 168,"$41,7","$28,9","2,8",$9 965,9839.0,$7 971,$7 797,,,,,,,,,216.52380952380952,0.5409610732351001,2025-03-01
01/03/2025,6.0,2,306.0,11,4.0,"75,00%",2.0,"66,67%","50,00%",$0,"$35,8","$34,7","1,5",$106,107.0,$107,$106,,,,,,,,,153.0,0.34967320261437906,2025-03-01
01/03/2025,6.0,3,0.0,1,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,2025-03-01
01/03/2025,7.0,1,11678.0,569,215.0,"51,20%",67.0,"60,91%","67,20%",-$408,"$25,1","$38,4","3,6",$1 642,6135.0,$2 466,$2 051,,,,,,,,,174.29850746268656,0.5253468059599247,2025-03-01
01/03/2025,7.0,2,4147.0,62,39.0,"46,20%",14.0,"77,78%","57,10%",$967,"$297,6","$48,6","2,7",$12 855,11309.0,$10 616,$11 888,,,,,,,,,296.2142857142857,2.7270315891005548,2025-03-01
01/03/2025,8.0,1,5949.0,191,68.0,"60,30%",31.0,"75,61%","77,40%",$768,"$31,6","$34,8","2,5",$1 780,2467.0,$1 015,$1 012,,,,,,,,,191.90322580645162,0.41469154479744497,2025-03-01
01/03/2025,8.0,2,5243.0,75,40.0,"47,50%",14.0,"73,68%","64,30%",$1 403,"$74,8","$24,4","2,5",$3 655,2617.0,$2 273,$2 251,,,,,,,,,374.5,0.4991417127598703,2025-03-01
01/03/2025,8.0,3,2114.0,97,33.0,"63,60%",14.0,"66,67%","71,40%",$249,"$26,5","$24,5","1,4",$766,531.0,$531,$517,,,,,,,,,151.0,0.2511825922421949,2025-03-01
01/03/2025,8.0,4,1133.0,47,17.0,"47,10%",7.0,"87,50%","42,90%",$229,"$24,5","$24,8","2,4",$615,417.0,$417,$386,,,,,,,,,161.85714285714286,0.3680494263018535,2025-03-01
01/03/2025,8.0,5,562.0,25,9.0,"33,30%",2.0,"66,67%","50,00%",$45,"$253,5","$276,6","1,5",$806,761.0,$761,$761,,,,,,,,,281.0,1.3540925266903914,2025-03-01
01/03/2025,9.0,1,7521.0,240,86.0,"40,70%",25.0,"71,43%","68,00%",-$4,"$46,9","$39,6","2,1",$1 022,2437.0,$1 055,$1 026,,,,,,,,,300.84,0.32402606036431325,2025-03-01
01/03/2025,9.0,2,7190.0,387,142.0,"45,10%",43.0,"67,19%","60,50%",$1 786,"$48,9","$33,6","2,5",$5 951,5230.0,$4 325,$4 165,,,,,,,,,167.2093023255814,0.7273991655076495,2025-03-01
01/03/2025,10.0,1,3105.0,79,37.0,"35,10%",9.0,"69,23%","55,60%",$198,"$25,3","$20,8","2,8",$405,633.0,$215,$206,,,,,,,,,345.0,0.2038647342995169,2025-03-01
01/03/2025,10.0,2,2254.0,41,27.0,"48,10%",9.0,"69,23%","77,80%",$642,"$57,4","$29,4","4,1",$2 755,2124.0,$2 124,$2 113,,,,,,,,,250.44444444444446,0.9423247559893523,2025-03-01
01/03/2025,10.0,3,1738.0,34,16.0,"50,00%",8.0,"100,00%","62,50%",$437,"$89,0","$27,8","7,6",$100,5428.0,-$330,-$337,,,,,,,,,217.25,3.1231300345224398,2025-03-01
01/03/2025,10.0,3,1584.0,26,13.0,"61,50%",4.0,"50,00%","25,00%",$375,"$24,1","$29,6","12,5",$489,1205.0,$117,$115,,,,,,,,,396.0,0.7607323232323232,2025-03-01
01/03/2025,10.0,4,1188.0,21,15.0,"40,00%",2.0,"33,33%","50,00%",$4,"$57,8","$38,1",4,-$23,463.0,-$27,-$28,,,,,,,,,594.0,0.3897306397306397,2025-03-01
01/03/2025,10.0,5,1005.0,25,14.0,"64,30%",6.0,"66,67%","83,30%",$102,"$29,7","$31,2","1,2",$309,208.0,$208,$207,,,,,,,,,167.5,0.20696517412935322,2025-03-01
01/03/2025,10.0,6,924.0,11,7.0,"28,60%",2.0,"100,00%","50,00%",$226,"$67,8","$27,8",2,$497,271.0,$271,$270,,,,,,,,,462.0,0.29329004329004327,2025-03-01
01/03/2025,10.0,7,908.0,13,10.0,"30,00%",3.0,"100,00%","33,30%",$31,"$56,6","$69,3","2,3",$426,396.0,$396,$394,,,,,,,,,302.6666666666667,0.43612334801762115,2025-03-01
01/03/2025,10.0,8,360.0,11,6.0,"50,00%",1.0,"33,33%","100,00%",$0,"$6,9","$6,9",1,$7,7.0,$7,$7,,,,,,,,,360.0,0.019444444444444445,2025-03-01
01/03/2025,10.0,9,312.0,6,2.0,"50,00%",1.0,"100,00%","0,00%",$0,"$238,6","$139,1",5,$1 193,1193.0,$1 193,$1 193,,,,,,,,,312.0,3.823717948717949,2025-03-01
01/03/2025,10.0,10,252.0,3,2.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,11.0,1,2721.0,108,40.0,"42,50%",12.0,"70,59%","75,00%",$674,"$41,2","$46,7","2,6",$1 098,1277.0,$428,$424,,,,,,,,,226.75,0.4693127526644616,2025-03-01
01/03/2025,11.0,2,2313.0,85,34.0,"47,10%",13.0,"81,25%","46,20%",$872,"$85,6","$39,4","5,4",$3 857,5991.0,$3 021,$2 985,,,,,,,,,177.92307692307693,2.5901426718547342,2025-03-01
01/03/2025,11.0,3,1983.0,61,27.0,"44,40%",11.0,"91,67%","72,70%",$392,"$56,0","$33,9","2,9",-$255,1791.0,-$646,-$647,,,,,,,,,180.27272727272728,0.903177004538578,2025-03-01
01/03/2025,11.0,4,1856.0,72,23.0,"43,50%",7.0,"70,00%","42,90%",$468,"$33,7","$40,7","3,3",-$251,775.0,-$720,-$719,,,,,,,,,265.14285714285717,0.4175646551724138,2025-03-01
01/03/2025,11.0,5,1854.0,56,18.0,"55,60%",5.0,"50,00%","60,00%",$62,"$21,1","$22,2","2,2",-$81,232.0,-$143,-$144,,,,,,,,,370.8,0.12513484358144553,2025-03-01
01/03/2025,11.0,6,1658.0,61,20.0,"40,00%",7.0,"87,50%","71,40%",$173,"$60,3","$36,6","8,1",-$337,3437.0,-$500,-$510,,,,,,,,,236.85714285714286,2.0729794933655006,2025-03-01
01/03/2025,11.0,7,735.0,38,11.0,"45,50%",3.0,"60,00%","66,70%",$111,"$33,9","$30,0","1,7",$281,170.0,$170,$170,,,,,,,,,245.0,0.23129251700680273,2025-03-01
01/03/2025,11.0,8,306.0,6,2.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,12.0,1,4324.0,178,86.0,"43,00%",29.0,"78,38%","72,40%",$738,"$84,1","$36,2","2,6",$563,6391.0,-$134,-$176,,,,,,,,,149.10344827586206,1.4780296022201664,2025-03-01
01/03/2025,12.0,2,2277.0,130,58.0,"56,90%",31.0,"93,94%","64,50%",$1 911,"$79,4","$43,3","4,1",$8 468,9998.0,$6 593,$6 557,,,,,,,,,73.45161290322581,4.390865173473869,2025-03-01
01/03/2025,12.0,3,2247.0,85,34.0,"38,20%",8.0,"61,54%","50,00%",$47,"$37,5","$31,4","2,5",$728,750.0,$750,$680,,,,,,,,,280.875,0.33377837116154874,2025-03-01
01/03/2025,12.0,4,2016.0,24,11.0,"54,50%",6.0,"100,00%","66,70%",$150,"$26,9","$22,0","1,3",$291,215.0,$215,$141,,,,,,,,,336.0,0.10664682539682539,2025-03-01
01/03/2025,12.0,5,277.0,1,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,12.0,6,212.0,19,11.0,"27,30%",1.0,"33,33%","100,00%",$0,"$34,5","$34,5",1,$34,34.0,$34,$34,,,,,,,,,212.0,0.16037735849056603,2025-03-01
01/03/2025,12.0,7,210.0,2,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,12.0,8,124.0,3,2.0,"50,00%",1.0,"100,00%","100,00%",$0,"$20,9","$20,9",1,$19,21.0,$21,$19,,,,,,,,,124.0,0.1693548387096774,2025-03-01
01/03/2025,13.0,1,7756.0,171,90.0,"55,60%",38.0,"76,00%","65,80%",$1 537,"$64,1","$64,7",3,$1 919,7246.0,$441,$383,,,,,,,,,204.10526315789474,0.9342444559051057,2025-03-01
01/03/2025,13.0,2,3112.0,123,57.0,"59,60%",21.0,"61,76%","61,90%",$1 400,"$51,5","$41,2","2,4",$3 244,2629.0,$1 939,$1 843,,,,,,,,,148.1904761904762,0.8447943444730077,2025-03-01
01/03/2025,13.0,3,220.0,2,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,13.0,4,153.0,5,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,13.0,5,105.0,3,1.0,"100,00%",0.0,"0,00%",,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,14.0,1,11335.0,608,197.0,"46,70%",68.0,"73,91%","55,90%",$1 402,"$26,5","$27,1","4,5",$6 713,8144.0,$5 803,$5 311,,,,,,,,,166.69117647058823,0.7184825760917513,2025-03-01
01/03/2025,15.0,1,10703.0,468,166.0,"52,40%",65.0,"74,71%","53,80%",$1 943,"$41,3","$31,9","5,4",$8 118,14585.0,$6 327,$6 175,,,,,,,,,164.66153846153847,1.3627020461552837,2025-03-01
01/03/2025,15.0,2,250.0,2,1.0,"100,00%",1.0,"100,00%","100,00%",$2,"$34,6","$34,6",1,$36,35.0,$35,$35,,,,,,,,,250.0,0.14,2025-03-01
01/03/2025,16.0,1,6114.0,785,204.0,"39,20%",52.0,"65,00%","61,50%",$1 068,"$44,9","$30,2","2,1",$3 593,4984.0,$2 551,$2 525,,,,,,,,,117.57692307692308,0.8151782793588486,2025-03-01
01/03/2025,16.0,2,2361.0,118,46.0,"45,70%",12.0,"57,14%","83,30%",$241,"$23,9","$26,9","1,4",$623,406.0,$406,$382,,,,,,,,,196.75,0.17196103346039815,2025-03-01
01/03/2025,16.0,3,1472.0,111,35.0,"45,70%",8.0,"50,00%","50,00%",$40,"$16,1","$17,4","4,1",$568,532.0,$532,$528,,,,,,,,,184.0,0.36141304347826086,2025-03-01
01/03/2025,16.0,4,480.0,4,2.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,16.0,5,135.0,17,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,16.0,6,75.0,9,1.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,17.0,1,8620.0,256,109.0,"54,10%",42.0,"71,19%","66,70%",$1 491,"$46,9","$54,4","1,9",$848,3707.0,$2 199,-$643,,,,,,,,,205.23809523809524,0.43004640371229697,2025-03-01
01/03/2025,17.0,2,1050.0,20,8.0,"62,50%",2.0,"40,00%","0,00%",-$265,"$122,9","$41,9","18,5",$1 047,4546.0,$1 311,$1 312,,,,,,,,,525.0,4.32952380952381,2025-03-01
01/03/2025,17.0,3,313.0,11,3.0,"66,70%",2.0,"100,00%","50,00%",$891,"$149,9","$104,3","5,5",$2 540,1649.0,$1 649,$1 649,,,,,,,,,156.5,5.268370607028754,2025-03-01
01/03/2025,17.0,4,176.0,3,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,18.0,1,4833.0,145,72.0,"50,00%",24.0,"66,67%","54,20%",$901,"$58,9","$52,9","2,1",$3 405,2944.0,$2 646,$2 503,,,,,,,,,201.375,0.6091454583074695,2025-03-01
01/03/2025,18.0,2,3642.0,169,79.0,"50,60%",27.0,"67,50%","48,10%",$1 508,"$43,5","$46,3",3,$3 315,3526.0,$1 928,$1 807,,,,,,,,,134.88888888888889,0.9681493684788578,2025-03-01
01/03/2025,18.0,3,431.0,21,5.0,"60,00%",1.0,"33,33%","0,00%",-$52,"$72,6","$69,1",2,$94,145.0,$145,$146,,,,,,,,,431.0,0.33642691415313225,2025-03-01
01/03/2025,18.0,4,229.0,12,2.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,19.0,1,8180.0,208,99.0,"47,50%",36.0,"76,60%","69,40%",$422,"$47,8","$49,3","3,9",$4 932,6745.0,$4 727,$4 510,,,,,,,,,227.22222222222223,0.8245721271393643,2025-03-01
01/03/2025,19.0,2,541.0,12,3.0,"33,30%",1.0,"100,00%","0,00%",$96,"$21,5","$21,0",11,$333,237.0,$237,$237,,,,,,,,,541.0,0.43807763401109057,2025-03-01
01/03/2025,20.0,1,6913.0,226,109.0,"45,90%",37.0,"74,00%","70,30%",$1 056,"$25,1","$29,8","2,6",$2 718,2432.0,$1 709,$1 662,,,,,,,,,186.83783783783784,0.35180095472298567,2025-03-01
01/03/2025,20.0,2,459.0,14,4.0,"100,00%",3.0,"75,00%","33,30%",$259,"$63,5","$41,6","2,3",$704,444.0,$444,$445,,,,,,,,,153.0,0.9673202614379085,2025-03-01
01/03/2025,20.0,3,206.0,1,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,20.0,4,195.0,10,4.0,"25,00%",0.0,"0,00%",,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,20.0,5,189.0,10,1.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,20.0,6,189.0,4,1.0,"100,00%",1.0,"100,00%","100,00%",$32,"$20,8","$20,8",1,$53,21.0,$21,$21,,,,,,,,,189.0,0.1111111111111111,2025-03-01
01/03/2025,20.0,7,147.0,2,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,21.0,1,6257.0,269,114.0,"36,00%",28.0,"68,29%","57,10%",$755,"$28,2","$29,8","1,7",$2 061,1352.0,$1 352,$1 306,,,,,,,,,223.46428571428572,0.216077992648234,2025-03-01
01/03/2025,21.0,2,1050.0,21,5.0,"60,00%",2.0,"66,67%","50,00%",-$67,"$55,4","$45,0","1,5",$87,166.0,$166,$154,,,,,,,,,525.0,0.1580952380952381,2025-03-01
01/03/2025,21.0,3,735.0,22,2.0,"100,00%",2.0,"100,00%","50,00%",-$11,"$44,2","$62,8","1,5",$114,133.0,$133,$125,,,,,,,,,367.5,0.18095238095238095,2025-03-01
01/03/2025,22.0,1,4990.0,56,26.0,"61,50%",12.0,"75,00%","58,30%",$500,"$30,9","$37,7","3,4",$1 168,1267.0,$700,$667,,,,,,,,,415.8333333333333,0.2539078156312625,2025-03-01
01/03/2025,22.0,2,1827.0,18,9.0,"44,40%",3.0,"75,00%","66,70%",$0,"$39,9","$41,6","1,3",$159,159.0,$159,$159,,,,,,,,,609.0,0.08702791461412152,2025-03-01
01/03/2025,22.0,3,153.0,3,1.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
